DMosler   20220520130447
Knee EXT/FLEX UNI ISOK CON/CON 500/500 deg/s   Filtered: Yes   Windowed: Yes
  Set  Rep      mSec      TORQUE    POSITION  POS_(ANAT)    VELOCITY
    1    2      1320        22.9       156.0        83.0       155.3
    1    2      1330        36.5       152.4        79.4       247.9
    1    2      1340        47.2       148.4        75.4       324.7
    1    2      1350        56.4       144.2        71.2       380.0
    1    2      1360        64.3       139.8        66.8       411.4
    1    2      1370        67.5       135.1        62.1       415.5
    1    2      1380        70.0       130.4        57.4       390.2
    1    2      1390        67.9       126.1        53.1       335.0
    1    2      1400        58.3       122.2        49.2       256.6
    1    2      1410        38.8       118.8        45.8       161.2
    1    2      1420        22.9       115.7        42.7        91.1
    1    2      1430         0.0       113.0        40.0        44.2
    1    2      1440         0.0       110.6        37.6        20.8
    1    2      1450         0.0       108.4        35.4         0.0
    1    2      1460         0.0       106.6        33.6         0.0
    1    2      1470         0.0       104.9        31.9         0.0
    1    2      1480         0.0       103.4        30.4         0.0
    1    2      1490         0.0       102.1        29.1         0.0
    1    2      1500         0.0       101.0        28.0         0.0
    1    2      1510         0.0       100.0        27.0         0.0
    1    2      1520         0.0        99.1        26.1         0.0
    1    2      1530         0.0        98.3        25.3         0.0
    1    2      1540         0.0        97.6        24.6         0.0
    1    2      1550         0.0        96.9        23.9         0.0
    1    2      1560         0.0        96.4        23.4         0.0
    1    2      1570         0.0        95.9        22.9         0.0
    1    2      1580         0.0        95.5        22.5         0.0
    1    2      1590         0.0        95.1        22.1         0.0
    1    2      1600         0.0        94.7        21.7         0.0
    1    2      1610         0.0        94.4        21.4         0.0
    1    2      1620         0.0        94.2        21.2         0.0
    1    2      1630         0.0        94.0        21.0         0.0
    1    2      1640         0.0        93.8        20.8         0.0
    1    2      1650         0.0        93.6        20.6         0.0
    1    2      1660         0.0        93.4        20.4         0.0
    1    2      1670         0.0        93.3        20.3         0.0
    1    2      1680         0.0        93.2        20.2         0.0
    1    2      1690         0.0        93.1        20.1         0.0
    1    2      1700         0.0        93.0        20.0         0.0
    1    2      1710         0.0        92.9        19.9         0.0
    1    2      1720         0.0        92.9        19.9         0.0
    1    2      1730         0.0        93.0        20.0         0.0
    1    2      1740         0.0        93.2        20.2         0.0
    1    2      1750         0.0        93.5        20.5         0.0
    1    2      1760         0.0        94.1        21.1         0.0
    1    2      1770         0.0        94.8        21.8         0.0
    1    2      1780         0.0        95.7        22.7         0.0
    1    2      1790         0.0        96.8        23.8         0.0
    1    2      1800         0.0        98.1        25.1         0.0
    1    2      1810         0.0        99.6        26.6         0.0
    1    2      1820         0.0       101.4        28.4         0.0
    1    2      1830         0.0       103.3        30.3         0.0
    1    2      1840         0.0       105.6        32.6         0.0
    1    2      1850         0.0       108.1        35.1         0.0
    1    2      1860        -1.1       110.8        37.8       -20.7
    1    2      1870        -2.3       113.8        40.8       -42.7
    1    2      1880        -4.5       117.0        44.0       -86.5
    1    2      1890        -7.9       120.5        47.5      -153.6
    1    2      1900       -13.3       124.1        51.1      -242.7
    1    2      1910       -19.1       128.0        55.0      -312.4
    1    2      1920       -21.0       132.1        59.1      -340.6
    1    2      1930       -24.3       136.5        63.5      -343.2
    1    2      1940       -26.7       140.8        67.8      -317.7
    1    2      1950       -24.9       144.6        71.6      -247.0
    1    2      1960       -17.1       148.1        75.1      -156.6
    1    2      1970       -10.3       151.2        78.2       -89.3
    1    2      1980        -5.7       154.0        81.0       -44.1
    1    2      1990         0.0       156.5        83.5       -20.8
    1    2      2000         0.0       158.7        85.7         0.0
    1    2      2010         0.0       160.7        87.7         0.0
    1    2      2020         0.0       162.4        89.4         0.0
    1    2      2030         0.0       164.0        91.0         0.0
    1    2      2040         0.0       165.4        92.4         0.0
    1    2      2050         0.0       166.7        93.7         0.0
    1    2      2060         0.0       167.8        94.8         0.0
    1    2      2070         0.0       168.8        95.8         0.0
    1    2      2080         0.0       169.7        96.7         0.0
    1    2      2090         0.0       170.5        97.5         0.0
    1    2      2100         0.0       171.2        98.2         0.0
    1    2      2110         0.0       171.9        98.9         0.0
    1    2      2120         0.0       172.4        99.4         0.0
    1    2      2130         0.0       172.9        99.9         0.0
    1    2      2140         0.0       173.4       100.4         0.0
    1    2      2150         0.0       173.8       100.8         0.0
    1    2      2160         0.0       174.2       101.2         0.0
    1    2      2170         0.0       174.5       101.5         0.0
    1    2      2180         0.0       174.8       101.8         0.0
    1    2      2190         0.0       175.0       102.0         0.0
    1    2      2200         0.0       175.2       102.2         0.0
    1    2      2210         0.0       175.4       102.4         0.0
    1    2      2220         0.0       175.6       102.6         0.0
    1    2      2230         0.0       175.8       102.8         0.0
    1    2      2240         0.0       175.9       102.9         0.0
    1    2      2250         0.0       176.0       103.0         0.0
    1    2      2260         0.0       176.1       103.1         0.0
    1    2      2270         0.0       176.2       103.2         0.0
    1    2      2280         0.0       176.3       103.3         0.0
    1    2      2290         0.0       176.4       103.4         0.0
    1    2      2300         0.0       176.3       103.3         0.0
    1    -      2310         0.0       176.2       103.2         0.0
    1    -      2320         0.0       175.9       102.9         0.0
    1    -      2330         0.0       175.3       102.3         0.0
    1    3      2340         0.0       174.3       101.3         0.0
    1    3      2350         0.0       172.9        99.9         0.0
    1    3      2360         0.0       171.2        98.2         0.0
    1    3      2370         3.5       169.1        96.1        19.4
    1    3      2380         7.3       166.7        93.7        40.8
    1    3      2390        14.5       163.9        90.9        83.5
    1    3      2400        25.5       160.8        87.8       149.3
    1    3      2410        40.3       157.4        84.4       239.3
    1    3      2420        51.9       153.7        80.7       315.9
    1    3      2430        60.3       149.6        76.6       376.0
    1    3      2440        67.2       145.1        72.1       413.5
    1    3      2450        76.2       140.5        67.5       444.6
    1    3      2460        76.1       135.8        62.8       428.4
    1    3      2470        78.4       131.0        58.0       402.1
    1    3      2480        75.4       126.5        53.5       345.5
    1    3      2490        64.5       122.5        49.5       264.7
    1    3      2500        42.8       118.9        45.9       166.3
    1    3      2510        25.2       115.8        42.8        94.0
    1    3      2520         0.0       113.0        40.0        45.8
    1    3      2530         0.0       110.5        37.5        21.5
    1    3      2540         0.0       108.4        35.4         0.0
    1    3      2550         0.0       106.5        33.5         0.0
    1    3      2560         0.0       104.8        31.8         0.0
    1    3      2570         0.0       103.3        30.3         0.0
    1    3      2580         0.0       102.0        29.0         0.0
    1    3      2590         0.0       100.8        27.8         0.0
    1    3      2600         0.0        99.8        26.8         0.0
    1    3      2610         0.0        98.9        25.9         0.0
    1    3      2620         0.0        98.1        25.1         0.0
    1    3      2630         0.0        97.4        24.4         0.0
    1    3      2640         0.0        96.8        23.8         0.0
    1    3      2650         0.0        96.3        23.3         0.0
    1    3      2660         0.0        95.8        22.8         0.0
    1    3      2670         0.0        95.4        22.4         0.0
    1    3      2680         0.0        95.0        22.0         0.0
    1    3      2690         0.0        94.7        21.7         0.0
    1    3      2700         0.0        94.4        21.4         0.0
    1    3      2710         0.0        94.1        21.1         0.0
    1    3      2720         0.0        93.9        20.9         0.0
    1    3      2730         0.0        93.7        20.7         0.0
    1    3      2740         0.0        93.6        20.6         0.0
    1    3      2750         0.0        93.4        20.4         0.0
    1    3      2760         0.0        93.3        20.3         0.0
    1    3      2770         0.0        93.2        20.2         0.0
